SpeciesName,Overview,Size,Morphology,Behavior,Distribution,Habitat,Habitat Details,CommonNames,Kingdom,Phylum,Class,Order,Family,Genus,Species,Conservation Status
Tupaia belangeri,"The Northern Treeshrew (Tupaia belangeri) is a small mammal species found in various parts of Southeast Asia, including India. Recognizable by their unique appearance and arboreal habits, treeshrews are known for their ecological roles and distinct behaviors.","Northern Treeshrews have a body length ranging from about 12 to 20 cm (4.7 to 7.9 inches), and their tail can measure around 15 to 25 cm (5.9 to 9.8 inches). They generally weigh between 80 to 160 grams (2.8 to 5.6 ounces).",These treeshrews have a compact build with a long tail and relatively short limbs. They have a brownish-gray fur coat and a relatively small head with large eyes.,"Northern Treeshrews are primarily diurnal, meaning they are active during the day. They have a varied diet that includes fruits, insects, small vertebrates, and nectar. They are known for their agility in tree-climbing.","The Northern Treeshrew is found in several countries in Southeast Asia, including India, Thailand, Malaysia, and parts of China. They inhabit a range of forested habitats, including tropical and subtropical forests.","These treeshrews are well adapted to life in trees and are often found in various types of forests, from lowland rainforests to montane forests.",Northern Treeshrews are known for their solitary behavior and territorial nature. They have specialized adaptations in their digestive system that allow them to efficiently process the nectar from flowers. They communicate using vocalizations and scent marking.,"{'English': ['Northern Treeshrew'], 'Other': ['Northern Tree shrew']}",Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,Tupaia belangeri (Wagner 1841),Least Concern
Manis crassicaudata,"The Indian Pangolin (Manis crassicaudata) is a unique and distinctive mammal found in various parts of South Asia, including India. Recognizable by their armor-like scales and distinctive appearance, pangolins are fascinating creatures with specialized behaviors and ecological roles.","It is about 84–122 cm (33–48 in) long from head to tail, the tail usually being 33–47 cm (13–19 in) long, and weighs 10–16 kg (22–35 lb). Females are generally smaller than the males and have one pair of mammae. The pangolin possesses a cone-shaped head with small, dark eyes, and a long muzzle with a nose pad similar in color, or darker than, its pinkish-brown skin. It has powerful limbs, tipped with sharp, clawed digits. The pangolin has no teeth, but has strong stomach muscles to aid in digestion. The most noticeable characteristic of the pangolin is its massive, scaled armour, which covers its upper face and its whole body with the exception of the belly and the inside of the legs. These protective scales are rigid and made of keratin. It has 160–200 scales in total, about 40–46% of which are located on the tail. Scales are 6.5–7 cm (2.6–2.8 in) long, 8.5 cm (3.3 in) wide, and weigh 7–10 g (0.25–0.35 oz). The skin and scales make up about one-fourth to one-third of the total body mass of this species.","The most striking aspect of the Indian Pangolin's morphology are the scales that cover most of it's body except the face and ventral aspect. Dorsally it appears to be covered by a suit of about 11-18 rows of yellowish scales. It has a small head and the mouth is tubular in appearance. The eyes are small and the ears appear as slits in the skin, with very small pinnae. The nose has large nostrils with flaps that enable it to be closed. It's tongue is long and sticky. It's forelimbs are powerful thus enabling it to dig, and armed with three long claws. It's long tail ends in a scale. The Indian Pangolin has a distictive scaly appearance, tubular mouth and a long scaly tail.","Nocturnal, fossorial, terrestrial. The Indian pangolin is a solitary, shy, slow-moving, nocturnal mammal.
The Indian pangolin is nocturnal and mostly active intermittently between 17:00 and 05:00 hr. The peak period of activity was observed between 20:00–21:00 hr in captive individuals with some individual variation.[7]

The Indian pangolin does not climb trees, but it does value the presence of trees, herbs, and shrubs in its habitat because it is easier to dig burrows around them. Features that promote an abundance of ants and termites like grasses, bare grounds, bases of trees, shrubs, roots, leaf litter, fallen logs and elephant feces are often present in pangolin habitats.[5]

Pangolin burrows fall into one of two categories: feeding and living burrows. Feeding burrows are smaller than living burrows (though their sizes vary depending on the abundance of prey) and are created more frequently during the spring, when there is a greater availability of prey. Living burrows are wider, deeper, and more circular, and are occupied for a longer time than feeding burrows, as they are mainly used to sleep and rest during the day. After a few months, the pangolin abandons the burrow and digs a new one close to a food source. However, it is not uncommon for the pangolin to shift back to an old burrow.","The Indian pangolin has been recorded in various forest types, including Sri Lankan rainforest and plains to middle hill levels. It inhabits grasslands and secondary forests, and is well adapted to dry areas and desert regions, but prefers more barren, hilly regions. In Sri Lanka, it was sighted at an elevation of 1,100 m (3,600 ft), and in the Nilgiri mountains at 2,300 m (7,500 ft). It prefers soft and semi-sandy soil conditions suitable for digging burrows.","These pangolins are adaptable to various environments and can be found in diverse habitats, including tropical and subtropical forests, grasslands, and agricultural areas.","Indian Pangolins are known for their solitary behavior and elusive nature. They are expert diggers and use their strong claws to excavate ant and termite nests. They curl into a ball when threatened, using their scales as protective armor.","{'Bengali': ['Bonrui'], 'English': ['Indian Pangolin', 'Thick-tailed Pangolin'], 'Hindi': ['Sechi', 'Surajmukhi'], 'Malyalam': ['Enampeechi'], 'Oriya': ['Bajrakapta'], 'Other': ['Banrui', 'Enampeechi', 'Indian Pangolin'], 'Telugu': ['Nela Chepa', 'Polusu Pandi'], 'Urdu (Bangladesh)': ['Banrui']}",Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,Manis crassicaudata Ã‰. Geoffroy Saint-Hilaire 1803,Endangered
Uncia uncia,"The Snow Leopard (Uncia uncia) is a large cat species found in the mountainous regions of Central and South Asia, including India. Recognizable by their stunning coat and elusive behavior, snow leopards are iconic animals of the high-altitude ecosystems they inhabit.","Snow Leopards vary in size depending on their location and sex. On average, they have a body length ranging from about 75 to 130 cm (29.5 to 51.2 inches), and their tail can measure around 80 to 100 cm (31.5 to 39.4 inches). They generally weigh between 25 to 55 kg (55 to 121 lbs).","Ground-colour pale yellowish-gray ; head, cheeks, and back of neck covered with small irregular dark spots, gradually changing posteriorly on the back and sides inte dark rings, running in lines on the back, but irregularly distributed on the shoulders, sides, and haunch; from the middle of the back to near the root of the tail on the median line is an irregular dark band, closely bordered on each side by a chain of oblong rings almost confluent ; limbs with small dark spots ; lower parts pale dingy yellowish-white, with some large dark spots about the middle of the abdomen, the rest unspotted ; ears externally black at the base, the tip yellow with a black edge ; tail very long, thick, and bushy, with incomplete broad bands, or with a double row of large black patches, unspotted below. The fur throughout is very dense, and it has a well-marked though short mane.","It is stated to frequent rocky ground, and to kill the barrhel, wild sheep and also thar, domestic sheep, goats and dogs . Its color is adapted to that of its environment and the high position of its orbits allow it to peer over the edge of a rock to recconoitre for prey and detect it with least possible exposure of the head before creeping forth to stalk it. It lives on Ibex, Bharal and other wild goats and sheep other than musk deers, hares, marmots, picas probably and game birds as the Monal pheasant. It also takes, goat sheep and occasionally ponies from the herdsmen. It lies up most of the day and starts to hunt at about sundown, its generally nocturanal habits combined with the inaccessibility of its home, being the reason why it is so seldom seen.

The snow leopard's vocalizations include meowing, grunting, prusten and moaning. They can purr when exhaling.

It is solitary and mostly active at dawn till early morning, and again in afternoons and early evenings. They mostly rest near cliffs and ridges that provide vantage points and shade. In Nepal's Shey Phoksundo National Park , the home ranges of five adult radio-collared snow leopards largely overlapped, though they rarely met. Their individual home ranges ranged from 12 to 39 km 2 (4.6 to 15.1 sq mi). Males moved between 0.5 and 5.45 km (0.31 and 3.39 mi) per day, and females between 0.2 and 2.25 km (0.12 and 1.40 mi), measured in straight lines between survey points. Since they often zigzagged in the precipitous terrain, they actually moved up to 7 km (4.3 mi) in a single night. [39] Up to 10 individuals inhabit an area of ​​100 km 2 (40 sq mi); in habitats with sparse prey, an area of ​​1,000 km 2 (400 sq mi) usually supports only five individuals.

A study in the Gobi Desert from 2008 to 2014 revealed that adult males used a mean home range of 144–270 km 2 (56–104 sq mi), while adult females ranged in areas of 83–165 km 2 (32–64 sq mid). Their home ranges overlapped less than 20%. These results indicate that about 40% of the 170 protected areas in their range countries are smaller than the home range of a single male snow leopard.

Snow leopards leave scent marks to indicate their territories and common travel routes. They scrape the ground with the hind feet before depositing urine or feces , but also spray urine onto rocks. Their urine contains many characteristic low molecular weight compounds with various functional groups including pentanol , hexanol , heptanol , 3-octanone , nonanal and indole , which possibly play a role in chemical communication.","Snow Leopards are found in several countries in Central and South Asia, including India, Nepal, Bhutan, and parts of China. They inhabit high-altitude mountainous regions.",These leopards are highly adapted to cold and rugged mountain environments. They are often found in alpine and subalpine ecosystems.,"The Snow Leopard is slightly smaller than other Big Cats and occur in the mountain ranges of Central Asia. They are well adapted for living in a cold mountainous environment. In summer, they live above the tree line and in winter they come down to an altitude of around 1,200 to 2,000 m. they lead a solitary life and are most active at dawn and dusk.","{'English': ['Ounce', 'Snow Leopard', 'The Ounce'], 'Other': ['Snow Leopard'], 'Tibetan': ['Iker']}",Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia (Schreber 1775),Endangered
Nilgiritragus hylocrius,"The Nilgiri Tahr (Nilgiritragus hylocrius) is a large herbivorous mammal endemic to the Western Ghats of India. Recognizable by their unique appearance and their adaptation to rugged mountainous habitats, Nilgiri Tahrs are iconic species of the region.","Nilgiri Tahrs have a body length ranging from about 100 to 140 cm (39.4 to 55.1 inches), and their shoulder height can measure around 70 to 100 cm (27.6 to 39.4 inches). They generally weigh between 80 to 100 kg (176 to 220 lbs).","These tahrs have a robust build with curved horns in both males and females. Males typically have larger and more impressive horns. Their fur coloration can vary, but they usually have a dark brown to reddish-brown coat.","Nilgiri Tahrs are primarily diurnal, meaning they are active during the day. They are herbivores, feeding on grasses, shrubs, and other vegetation found in their high-altitude habitat.","The Nilgiri tahr can be found only in India. It inhabits the open montane grassland habitat of the South Western Ghats montane rain forests ecoregion. At elevations from 1,200 to 2,600 m (3,900 to 8,500 ft), the forests open into large grasslands interspersed with pockets of stunted forests, locally known as sholas. These grassland habitats are surrounded by dense forests at the lower elevations. The Nilgiri tahrs formerly ranged over these grasslands in large herds, but hunting and poaching in the 19th century reduced their population.","These tahrs are highly adapted to cold and rugged mountain environments. They are often found in grassy slopes, cliffs, and rocky terrains.","Nilgiri Tahrs are known for their social behavior, often forming groups known as herds or bands. These herds can consist of females, young, and a dominant male. They communicate through vocalizations and body language. Their curved horns are used in territorial disputes and dominance displays.","{'English': ['Nilgiri Tahr'], 'Malayalam': ['Varayaadu, à´µà´°à´¯à´¾à´Ÿàµ'], 'Tamil': ['Varaiyadu']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nilgiritragus,Nilgiritragus hylocrius (Ogilby 1838),Endangered
Macaca silenus,"The Lion-tailed Macaque (Macaca silenus) is a unique and endangered primate species found in the Western Ghats of India. Recognizable by their distinct appearance and limited habitat, these macaques are known for their conservation status and distinct behaviors.","Lion-tailed Macaques have a body length ranging from about 45 to 60 cm (17.7 to 23.6 inches), and their tail can measure around 20 to 30 cm (7.9 to 11.8 inches). They generally weigh between 4 to 10 kg (8.8 to 22 lbs).","Distinguished from all the other species of Macaca by the combination of two characters : the growth of the hairs on the temples and cheeks to form a long, thick, dark grey or brownish-grey ruff or mane, which hangs down on each side of the face like long whiskers and passes on to the throat as a shorter, paler beard, and by the shining, black hue of the rest of the head, body, limbs, and tail, although the underside, at least in the young, may be dark brown or greyish brown. The coat is in general long and full, and the hairs of the greater part of the tail are short and the terminal tuft is apparently always present and larger. The tail is long typically, apparently about two-thirds the length of the head and body and about twice as long as the foot.","Lion-tailed Macaques are primarily diurnal, meaning they are active during the day. They are herbivores, feeding on a diet that includes fruits, leaves, flowers, and other plant materials.","Lion-tailed Macaques are found in the Western Ghats of southern India, in the states of Kerala, Karnataka, and Tamil Nadu. They inhabit tropical rainforests and montane evergreen forests.","These macaques are highly adapted to forested environments, particularly in the hilly and mountainous regions of the Western Ghats.","Lion-tailed Macaques are known for their social behavior, often living in groups called troops that consist of several individuals. They have a hierarchical social structure, and the dominant male in the troop is responsible for mating with females. They communicate through various vocalizations and body language.","{'Bengali': ['Nil bandar'], 'Coorg': ['Karingode'], 'English': ['Lion-tailed Macaque', 'Wanderoo'], 'Hin': ['Shia bandar'], 'Kannada': ['Singaleeka', 'Singalika'], 'Malayalam': ['Chingala', 'Nella manthi'], 'Malayalam / Tamil': ['Singavaal kurangu'], 'Nelliampathi': ['Carapu corongu'], 'Other': ['Eng', 'Karingode', 'Lion-tailed Macaque'], 'Tamil': ['Kurankarangu'], 'Telugu': ['Kondamachu']}",Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca silenus (Linnaeus 1758),Endangered
Tupaia nicobarica,"The Nicobar treeshrew is a treeshrew species within the Tupaiidae. It is endemic to the Nicobar Islands where it inhabits the islands' rain forests. It is threatened by habitat loss. Although previously listed as an endangered species, the Nicobar treeshrew is now commonly found in its appropriate habitats.","Head-body 175-195 mm, tail 190-230 mm, hindfoot 46-49 mm. No specific data are available for ear measurement or body weight.",These treeshrews have a compact build with a long tail and relatively short limbs. They have a brownish-gray fur coat and a relatively small head with large eyes.,"The Nicobar Treeshrew is diurnal and predominantly arboreal, occassionally seen on the forest floor but more commonly observed in lower and mid-canopies of rain forest. It spent c.60% of the day foraging and feeding and c.12% resting or sleeping, equating to c.10.5 hours foraging during twelve hours of daylight, similar to other treeshrew species. Foraging occurred more frequently early in the morning and prior to returning to the nest at night. Nicobar Trecshrews arc mostly observed alone or in breeding pairs. They are easy to observe and follow, probably because the Nicobar Islands lack predators found elsewhere. Scent marking was done by rubbing glands from anogenital and chin/chest regions on substrates.","The Nicobar treeshrew only occupies the Indian Islands of Great Nicobar and Little Nicobar and can be found on the highest points of these two islands, 640 m above sea level.",These treeshrews are well adapted to life in trees and are often found in various types of forests and wooded habitats.,"Nicobar Treeshrews are known for their solitary behavior and elusive nature. They are expert diggers and use their strong claws to excavate food, including insects and plant matter. They are also known to feed on nectar, and their long tongue is adapted for this purpose.","{'English': ['Nicobar Treeshrew'], 'Other': ['Nicobar Tree shrew']}",Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,Tupaia nicobarica (Zelebor 1869),Endangered
Anathana ellioti,"The Madras treeshrew (Anathana ellioti), also known as the Indian treeshrew, is a species of treeshrew in the monotypic genus Anathana found in the hill forests of central and southern India. The genus name is derived from the Tamil name of moongil anathaan (literally ""bamboo squirrel"").","Head-body 165-200 mm, tail 150-230 mm, ear 13-15 mm, hindfoot 41-45 mm. No specific data are available for body weight.
Head and body length varies from 178 to 200 mm, tail a little shorter. Above yellowish-brown speckled; middle of back, rump and sometimes upper surface of tail tinged to a variable extent with rusty red. No dorsal stripe, a distinct stripe from throat below the ear passing obliquely up to the front of the shoulder.","This treeshrew is 16.0 to 18.5 cm long with a tail of 16.5 to 19.5 cm. The nominate race (type locality: Eastern Ghats, Madras. British Museum 50.1.21.5) has the tail coloured like the back, the ground colour above being reddish-brown while the feet and hind legs are buff or ochraceous. The other two races have the tail coloured differently from the back. The race A. e. pallida (type locality: Manbhum, Bengal, collected by Robert Cecil Beavan British Museum 66.12.28.2) has the colour of body above reddish-brown and the feet and hind legs grizzled buffy. Race A. e. wroughtoni (type locality: Mandvi, Surat, collected by R. C. Wroughton British Museum 96.11.7.1) has the colour of body above dull grizzled brownish and the feet and hind legs grizzled greyish.[5] Some later workers lump all the three races.","Diurnal, singly or in small family units.
This species of treeshrew is not particularly arboreal and spends much of its time on the ground or clambering about on rocky terrain in the search of insects and seeds.[14] It is easily separated from the squirrels in the field by the shape and color of the tail and the upward curve in which it is held when walking about.

They have a behaviour of climbing up low, slanting trunks and sliding down headfirst.[15] This may be associated with scent marking, as many of the Scandentia have scent glands on their throats.","The Madras Treeshrew is found in southern India, particularly in the states of Tamil Nadu and Kerala.",These treeshrews are well adapted to arboreal life and are often found in wooded habitats such as tropical forests and plantations.,Madras Treeshrews are known for their solitary behavior and their ability to leap and climb skillfully in trees. They use their sharp claws and strong limbs to move around in the canopy and search for food. They communicate using various vocalizations and are known for their agility and quick movements.,"{'English': ['Indian Treeshrew', 'Madras Treeshrew'], 'Oriya': ['Ban Chuchundriya'], 'Other': ['Eng', 'Madras Tree shrew']}",Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Anathana,Anathana ellioti (Waterhouse 1850),Least Concern
Urva urva,"The crab-eating mongoose is grey on the sides and dusky brown on neck, chest, belly and limbs. It has a broad white stripe on the sides of the neck extending from the cheeks to the shoulder.[3] It has white specks on the top of the head, its chin is white and its throat gray. Its iris is yellow. Its ears are short and rounded.",It has webs between the digits. In head-to-body length it ranges from 47.7 to 55.8 cm (18.8 to 22.0 in) with a 28 to 34 cm (11 to 13 in) long bushy tail. Its weight ranges from 1.1 to 2.5 kg (2.4 to 5.5 lb).,"The crab-eating mongoose is grey on the sides and dusky brown on neck, chest, belly and limbs. It has a broad white stripe on the sides of the neck extending from the cheeks to the shoulder.[3] It has white specks on the top of the head, its chin is white and its throat gray. Its iris is yellow. Its ears are short and rounded. It has webs between the digits. In head-to-body length it ranges from 47.7 to 55.8 cm (18.8 to 22.0 in) with a 28 to 34 cm (11 to 13 in) long bushy tail. Its weight ranges from 1.1 to 2.5 kg (2.4 to 5.5 lb).","Crab-eating mongooses are usually active in the mornings and evenings, and were observed in groups of up to four individuals. They are supposed to be good swimmers, and hunt along the banks of streams and close to water.[6]

Despite their common name, their diet consists not only of crabs, but also just about anything else they can catch, including fish, snails, frogs, rodents, birds, reptiles, and insects.","The crab-eating mongoose occurs in northeastern India, northern Myanmar, Thailand, Peninsular Malaysia, Laos, Cambodia, and Vietnam. It is rare in Bangladesh. It has been recorded at altitudes from sea level to 1,800 m (5,900 ft).

In Nepal, it inhabits subtropical evergreen and moist deciduous forests, and has also been observed on agricultural land near human settlements. In India, it was recorded in Assam and Arunachal Pradesh. In Bangladesh, it was recorded in the eastern forested hills in Sylhet and Chittagong areas. In Myanmar, it was recorded in the Bumhpa Bum hills at up to 930 m (3,050 ft) altitude, in Hukawng Valley, Alaungdaw Kathapa National Park, Bago Yoma and Myinmoletkat Taung during surveys between 2001 and 2003.[10] In China's Guangxi, Guangdong and Hainan provinces, it was recorded in subtropical limestone forest during interview and camera-trapping surveys carried out between 1997 and 2005.","These mongooses are adaptable to various environments and can be found in diverse habitats, including tropical and subtropical forests, grasslands, and coastal areas.","Crab-eating mongooses are known for their solitary behavior, except during the mating season. They are agile climbers and swimmers. Their diet includes a significant portion of aquatic prey, such as crabs, which they skillfully catch and consume.",{},Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Urva,Urva urva (Hodgson 1836),No data available
Prionailurus bengalensis,"The Leopard Cat (Prionailurus bengalensis) is a small wild cat species found in various parts of Asia, including India. Recognizable by their distinctive coat and similar appearance to domestic cats, leopard cats are known for their adaptability and unique behaviors.","In the tropics, leopard cats weigh 0.55–3.8 kg (1.2–8.4 lb), have head-body lengths of 38.8–66 cm (15.3–26.0 in), with long 17.2–31 cm (6.8–12.2 in) tails. In northern China and Siberia, they weigh up to 7.1 kg (16 lb), and have head-body lengths of up to 75 cm (30 in); generally, they put on weight before winter and become thinner until spring.[5] Shoulder height is about 41 cm (16 in).","A leopard cat is about the size of a domestic cat, but more slender, with longer legs and well-defined webs between its toes. Its small head is marked with two prominent dark stripes and a short and narrow white muzzle. There are two dark stripes running from the eyes to the ears and smaller white streaks running from the eyes to the nose. The backs of its moderately long and rounded ears are black with central white spots. Body and limbs are marked with black spots of varying size and colour, and along its back are two to four rows of elongated spots. The tail is about half the size of its head-body length and is spotted with a few indistinct rings near the black tip. The background colour of the spotted fur is tawny, with a white chest and belly. However, in their huge range, they vary so much in colouration and size of spots as well as in body size and weight that initially they were thought to be several different species. The fur colour is yellowish brown in the southern populations, but pale silver-grey in the northern ones. The black markings may be spotted, rosetted, or may even form dotted streaks, depending on subspecies.

The Leopard Cat true to it's name is about the size of a domestic cat and has a pelage pattern that is similar to that of a leopard. It's limbs are however relatively longer. Dorsal pelage colour ranges from pale tawny to yellow-red to pale grey and ventral colour is usually white and spotted. The sides are covered by black rosettes and solid spots run down the limbs and tail. Head is relatively small. The chin is white in colour. Two parallel black stripes run across the cheek cranio-caudally. Iris is golden brown to grey in colour. Ear pinnae are rounded, black and have distinct white spot on the outer side.","Leopard Cats are primarily nocturnal and crepuscular, meaning they are most active during the night and dawn/dusk. They are opportunistic predators, feeding on a variety of prey such as rodents, birds, insects, and small mammals.","The Leopard Cat is found in several countries in Asia, including India, Southeast Asian countries, and parts of China. They inhabit a range of habitats, from forests to grasslands and even urban areas.","These cats are adaptable to various environments and can be found in diverse habitats, including tropical and subtropical forests, grasslands, and even agricultural areas.","Leopard Cats are known for their solitary behavior, except during the mating season. They are skilled climbers and swimmers. They communicate using vocalizations and scent marking. Due to their adaptable nature, they can thrive in a range of ecosystems, including forested landscapes and even near human settlements.","{'Assamese': ['Lota-mekuri bagh/ Lota-makori bagh'], 'English': ['Leopard Cat'], 'Other': ['Leopard Cat']}",Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Prionailurus bengalensis (Kerr 1792),Least Concern
Hyaena hyaena,"The Striped Hyena (Hyaena hyaena) is a medium-sized carnivorous mammal found in parts of Africa, the Middle East, and South Asia, including India. Recognizable by their unique appearance and nocturnal habits, striped hyenas are known for their scavenging behavior and distinct vocalizations.","Striped Hyenas have a body length ranging from about 85 to 130 cm (33.5 to 51.2 inches), and their shoulder height can measure around 60 to 80 cm (23.6 to 31.5 inches). They generally weigh between 22 to 55 kg (48 to 121 lbs).","Striped Hyenas (Hyaena hyaena) have a unique and distinctive appearance. They possess a slender body with relatively short legs, giving them a somewhat hunched posture. One of their most striking features is the bushy mane of hair along their neck and back. This mane can be erected when the hyena feels threatened or agitated, making it appear larger. The coat of the striped hyena is usually light in color, ranging from sandy beige to gray, with prominent dark stripes running horizontally across the body. These stripes give the hyenas their name. The tail is relatively short and bushy, and their head is relatively large, featuring sharp teeth and strong jaws that are adapted for both scavenging and hunting.","Striped Hyenas are primarily nocturnal creatures, meaning they are most active during the night. They have evolved to be skilled scavengers, often relying on carrion for a significant portion of their diet. They are also opportunistic predators, hunting small to medium-sized animals such as rodents, reptiles, and sometimes even larger prey like ungulates. In addition to their scavenging and hunting behavior, striped hyenas are known for their digging abilities. They use their strong forelimbs and sharp claws to excavate dens or burrows for shelter and raising their young. Striped Hyenas are known for their solitary and secretive behavior. They tend to avoid confrontations and may retreat or defend themselves by emitting a distinctive, eerie ""laughing"" call, which can be heard in the night. This vocalization is used for communication and as a way to establish territory.","The Striped Hyena is found in various parts of Africa, the Middle East, and South Asia, including India. They inhabit a range of habitats, from savannas to deserts and even urban areas.","These hyenas are adaptable to various environments and can be found in diverse habitats, including open woodlands, grasslands, and scrublands.","Striped Hyenas are known for their solitary behavior and elusive nature. They are skilled diggers and use burrows as dens. They are also known for their unique vocalizations, which include a distinctive ""laughing"" call that is often heard at night.","{'Bengali': ['Harvagh', 'Naukra bagh'], 'English': ['Striped Hyaena'], 'Hindi': ['Hundar', 'Jhirak', 'Lakar bagh', 'Lakhar baghar', 'Lakra bagh', 'Lokra bagh', 'Rera in Central India'], 'Kannada': ['Kirba and Katkirba'], 'Other': ['Striped Hyena'], 'Telugu': ['Korna gandu.']}",Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena,Hyaena hyaena (Linnaeus 1758),Near Threatened
